continent,country,population,date,new_cases,active_cases,cases_per_million,total_cases,new_deaths,deaths_per_million,total_deaths,tests_per_million,total_tests
Oceania,French-Polynesia,284164.0,2026-02-16,,,278902,79254,,2287,650.0,,
Africa,Eswatini,1184817.0,2026-02-16,,648.0,63462,75191,,1204,1427.0,885119,1048704.0
South-America,Guyana,794045.0,2026-02-16,,824.0,93366,74137,,1637,1300.0,923396,733218.0
North-America,Belize,412190.0,2026-02-16,,,173243,71409,,1669,688.0,1397453,576016.0
Africa,Madagascar,29178077.0,2026-02-16,,198.0,2347,68486,,49,1426.0,18210,531329.0
Africa,Cabo-Verde,567678.0,2026-02-16,,305.0,113580,64477,,735,417.0,707482,401622.0
Africa,Sudan,45992020.0,2026-02-16,,0.0,1391,63993,,110,5046.0,12240,562941.0
Africa,Mauritania,4901981.0,2026-02-16,,380.0,13025,63848,,203,997.0,206030,1009957.0
Asia,Bhutan,787941.0,2026-02-16,,1112.0,79571,62697,,27,21.0,2923739,2303734.0
Asia,Syria,19364809.0,2026-02-16,,0.0,2982,57743,,163,3165.0,7553,146269.0
Africa,Burundi,12624840.0,2026-02-16,,1114.0,4334,54721,,3,38.0,27386,345742.0
Africa,Seychelles,99426.0,2026-02-16,,0.0,515157,51220,,1730,172.0,,
Africa,Gabon,2331533.0,2026-02-16,,70.0,21038,49051,,132,307.0,695641,1621909.0
Europe,Andorra,77463.0,2026-02-16,,,619844,48015,,2130,165.0,3225256,249838.0
Oceania,Papua-New-Guinea,9292169.0,2026-02-16,,26.0,5043,46864,,72,670.0,26813,249149.0
Africa,Tanzania,63298550.0,2026-02-16,,,683,43223,,13,846.0,,
Africa,Mauritius,1274727.0,2026-02-16,,696.0,33752,43025,,824,1051.0,281374,358675.0
Africa,Togo,8680837.0,2026-02-16,,1.0,4559,39572,,33,290.0,93908,815204.0
Africa,Guinea,13865691.0,2026-02-16,,347.0,2782,38572,,34,468.0,47607,660107.0
Africa,Egypt,106156692.0,2026-02-16,,49228.0,4861,516023,,232,24613.0,34792,3693367.0
Asia,Uzbekistan,34382084.0,2026-02-16,+136,10539.0,7378,253662,,48,1637.0,40077,1377915.0
Asia,Kyrgyzstan,6728271.0,2026-02-16,+7,7500.0,30750,206897,,445,2991.0,283460,1907195.0
Asia,Qatar,2979915.0,2026-02-16,+28,147.0,172664,514524,,232,690.0,1364257,4065369.0
Africa,Libya,7040745.0,2026-02-16,,2.0,72048,507274,,914,6437.0,352782,2483848.0
Africa,Ethiopia,120812698.0,2026-02-16,,5412.0,4148,501157,,63,7574.0,46066,5565340.0
Africa,R&eacute;union,908061.0,2026-02-16,,,544672,494595,,1014,921.0,1766027,1603660.0
North-America,Honduras,10221247.0,2026-02-16,,,46432,474590,,1092,11165.0,162472,1660662.0
Asia,Armenia,2971966.0,2026-02-16,,7892.0,152031,451831,,2953,8777.0,1091164,3242901.0
Europe,Bosnia-and-Herzegovina,3249317.0,2026-02-16,,8143.0,124215,403615,,5044,16388.0,580036,1884721.0
Asia,Oman,5323993.0,2026-02-16,,,75028,399449,,869,4628.0,4695724,25000000.0
Europe,Luxembourg,642371.0,2026-02-16,,,609044,391232,,1918,1232.0,7140959,4587145.0
Europe,North-Macedonia,2081304.0,2026-02-16,,3523.0,168436,350567,,4793,9976.0,1069626,2226216.0
Africa,Zambia,19470234.0,2026-02-16,,3919.0,17940,349304,,209,4069.0,211244,4112961.0
Africa,Kenya,56215221.0,2026-02-16,,1132.0,6122,344130,,101,5689.0,70569,3967062.0
Asia,Brunei,445431.0,2026-02-16,,99893.0,771655,343719,,505,225.0,1611437,717784.0
Europe,Albania,2866374.0,2026-02-16,,1025.0,116825,334863,,1258,3605.0,677173,1941032.0
Africa,Botswana,2441162.0,2026-02-16,,788.0,135443,330638,,1147,2801.0,830300,2026898.0
Europe,Montenegro,627950.0,2026-02-16,,1902.0,472238,296542,,4532,2846.0,4410034,2769281.0
Africa,Algeria,45350148.0,2026-02-16,,82068.0,5998,272010,,152,6881.0,5093,230960.0
Africa,Nigeria,216746934.0,2026-02-16,,4080.0,1233,267188,,15,3155.0,26339,5708974.0
Africa,Zimbabwe,15331428.0,2026-02-16,,1731.0,17373,266359,,374,5740.0,164744,2525756.0
Asia,Afghanistan,40754388.0,2026-02-16,,15098.0,5746,234174,,196,7996.0,34125,1390730.0
Africa,Mozambique,33089461.0,2026-02-16,,2676.0,7064,233731,,68,2250.0,41437,1371127.0
North-America,Martinique,374087.0,2026-02-16,,,615777,230354,,2946,1102.0,2215870,828928.0
Asia,Laos,7481023.0,2026-02-16,,,29270,218970,,101,758.0,164845,1233207.0
Europe,Iceland,345393.0,2026-02-16,,,607731,209906,,663,229.0,5780036,1996384.0
North-America,Guadeloupe,399794.0,2026-02-16,,,508349,203235,,2554,1021.0,2346306,938039.0
North-America,El-Salvador,6550389.0,2026-02-16,,18215.0,30816,201855,,646,4230.0,398467,2610114.0
North-America,Trinidad-and-Tobago,1406585.0,2026-02-16,,28.0,136143,191496,,3121,4390.0,649295,913289.0
Asia,Maldives,540985.0,2026-02-16,,22691.0,345100,186694,,584,316.0,4092223,2213831.0
Africa,Namibia,2633874.0,2026-02-16,,1184.0,65451,172389,,1559,4106.0,403460,1062663.0
Africa,Uganda,48432863.0,2026-02-16,,68086.0,3554,172149,,75,3632.0,62198,3012408.0
Africa,Ghana,32395450.0,2026-02-16,,2.0,5306,171889,,45,1462.0,78456,2541625.0
North-America,Jamaica,2985094.0,2026-02-16,,,52551,156869,,1258,3756.0,396633,1183986.0
Asia,Cambodia,17168639.0,2026-02-16,,3.0,8102,139103,,178,3056.0,180062,3091420.0
Africa,Rwanda,13600464.0,2026-02-16,,11.0,9817,133518,,108,1468.0,442778,6021981.0
Europe,Belarus,9432800.0,2026-02-16,,1327.0,105381,994037,,755,7118.0,1446722,13646641.0
South-America,Venezuela,29266991.0,2026-02-16,+10,302.0,18885,552695,,200,5856.0,114771,3359014.0
Asia,Kazakhstan,19205043.0,2026-02-16,+63,14963.0,73514,1411831,,721,13848.0,602707,11575012.0
Europe,Ireland,5020199.0,2026-02-16,,170.0,345521,1734582,,1891,9491.0,2606161,13083449.0
Asia,Pakistan,229488994.0,2026-02-16,,12583.0,6893,1581936,,134,30664.0,133292,30589153.0
Europe,Finland,5554960.0,2026-02-16,,170.0,272930,1516117,,2153,11958.0,2179850,12108977.0
Europe,Norway,5511370.0,2026-02-16,,0.0,273930,1509732,,1204,6638.0,1996315,11002430.0
Europe,Lithuania,2661708.0,2026-02-16,,431.0,525154,1397806,,3718,9897.0,3959997,10540357.0
Europe,Slovenia,2078034.0,2026-02-16,,22.0,652803,1356546,,3417,7100.0,1370382,2847701.0
Europe,Bulgaria,6844597.0,2026-02-16,,8159.0,195753,1339851,,5661,38748.0,1705147,11671043.0
Europe,Croatia,4059286.0,2026-02-16,,32609.0,322650,1309728,,4604,18687.0,1394355,5660084.0
North-America,Guatemala,18584039.0,2026-02-16,,1113.0,69484,1291293,,1092,20289.0,408622,7593848.0
Africa,Morocco,37772756.0,2026-02-16,,,33860,1278992,,432,16303.0,344191,13001033.0
Asia,Lebanon,6684849.0,2026-02-16,,145299.0,186068,1243838,,1638,10952.0,717380,4795578.0
North-America,Costa-Rica,5182354.0,2026-02-16,,,239058,1238883,,1819,9428.0,899158,4659757.0
South-America,Bolivia,11992656.0,2026-02-16,,12579.0,101073,1212131,,1868,22407.0,225993,2710261.0
Africa,Tunisia,12046656.0,2026-02-16,,,95741,1153361,,2442,29423.0,416164,5013383.0
North-America,Cuba,11305652.0,2026-02-16,,61.0,98645,1115251,,754,8530.0,1273936,14402674.0
South-America,Ecuador,18113361.0,2026-02-16,,0.0,59083,1070188,,1990,36043.0,170173,3082403.0
Asia,UAE,10081785.0,2026-02-16,,,105837,1067030,,233,2349.0,19910389,200732262.0
North-America,Panama,4446964.0,2026-02-16,,64.0,238341,1059893,,1962,8727.0,1772585,7882622.0
South-America,Uruguay,3496016.0,2026-02-16,,2503.0,297799,1041111,,2192,7664.0,1749083,6114822.0
Asia,Mongolia,3378078.0,2026-02-16,,0.0,299429,1011496,,676,2284.0,1193000,4030048.0
Asia,Nepal,30225582.0,2026-02-16,,97.0,33199,1003450,,398,12031.0,200088,6047766.0
Europe,Latvia,1848837.0,2026-02-16,,4384.0,531418,982505,,3632,6715.0,4265272,7885792.0
Asia,Saudi-Arabia,35844909.0,2026-02-16,,,23475,841469,,269,9646.0,1268848,45481735.0
South-America,Paraguay,7305843.0,2026-02-16,,,114648,837602,,2759,20155.0,363751,2657506.0
Asia,Azerbaijan,10300205.0,2026-02-16,,745.0,81089,835234,,1010,10400.0,752223,7748050.0
Asia,Bahrain,1783983.0,2026-02-16,,60.0,408944,729549,,882,1574.0,6137138,10948549.0
Asia,Cyprus,1223387.0,2026-02-16,,0.0,556741,681110,,1116,1365.0,7879860,9640118.0
North-America,Dominican-Republic,11056370.0,2026-02-16,,190.0,61131,675890,,397,4384.0,338350,3740928.0
Asia,Sri-Lanka,21575842.0,2026-02-16,,5.0,31181,672754,,783,16897.0,300619,6486117.0
Asia,Kuwait,4380326.0,2026-02-16,,,152308,667158,,587,2570.0,1930391,8455743.0
Asia,Myanmar,55227143.0,2026-02-16,,2219.0,11622,641873,,353,19495.0,212061,11711514.0
Europe,Moldova,4013171.0,2026-02-16,,,158265,635145,,3044,12218.0,801437,3216305.0
Europe,Estonia,1321910.0,2026-02-16,,,475123,628070,,2270,3001.0,5271239,6968103.0
Asia,Palestine,5345541.0,2026-02-16,,159.0,116173,621008,,1011,5404.0,575907,3078533.0
Asia,DPRK,25990679.0,2026-02-16,,0.0,183636,4772813,,3,74.0,,
Asia,Jordan,10300869.0,2026-02-16,,1868.0,169597,1746997,,1371,14122.0,1669945,17201885.0
Africa,South-Africa,60756135.0,2026-02-16,+614,61362.0,67095,4076463,,1689,102595.0,441027,26795090.0
Europe,Ukraine,43192122.0,2026-02-16,,0.0,128681,5557995,,2603,112418.0,754855,32603805.0
Asia,Taiwan,23888595.0,2026-02-16,,0.0,428720,10241523,,796,19005.0,1286903,30742304.0
South-America,Argentina,46010234.0,2026-02-16,,746.0,220143,10128845,,2844,130841.0,776264,35716069.0
Europe,Netherlands,17211447.0,2026-02-16,,195.0,501747,8635786,,1336,22992.0,1509718,25984435.0
North-America,Mexico,131562772.0,2026-02-16,,467986.0,58549,7702809,,2546,334958.0,152124,20013810.0
Asia,Iran,86022837.0,2026-02-16,,,88665,7627186,,1707,146811.0,666338,57320267.0
Asia,Indonesia,279134505.0,2026-02-16,,20054.0,24466,6829221,,581,162063.0,408975,114158919.0
Europe,Poland,37739785.0,2026-02-16,,,176524,6661991,,3196,120598.0,1041970,39323709.0
South-America,Colombia,51512762.0,2026-02-16,,44821.0,124244,6400173,,2780,143200.0,717327,36951507.0
Europe,Greece,10316637.0,2026-02-16,,,591412,6101379,,3671,37869.0,9909078,102228365.0
Europe,Austria,9066710.0,2026-02-16,,3811.0,670727,6081287,,2486,22542.0,23302116,211273524.0
Europe,Portugal,10140570.0,2026-02-16,,127.0,556484,5643062,,2774,28126.0,4549993,46139518.0
South-America,Chile,19250195.0,2026-02-16,,67906.0,279730,5384853,,3350,64497.0,2617225,50382097.0
Asia,Malaysia,33181072.0,2026-02-16,,7790.0,159079,5278406,,1126,37348.0,2066869,68580916.0
North-America,Canada,38388419.0,2026-02-16,,5744.0,128843,4946090,,1538,59034.0,1734189,66572774.0
Europe,Belgium,11668278.0,2026-02-16,,521.0,416659,4861695,,2946,34376.0,3209915,37454182.0
Asia,Israel,9326000.0,2026-02-16,,30592.0,519169,4841772,,1363,12707.0,4436346,41373364.0
Asia,Thailand,70078203.0,2026-02-16,,42927.0,68069,4770149,,494,34586.0,246488,17273454.0
Europe,Czechia,10736784.0,2026-02-16,,318.0,443246,4759041,,4053,43517.0,5386552,57834241.0
South-America,Peru,33684208.0,2026-02-16,,0.0,135751,4572667,,6595,222161.0,1158115,39010194.0
Europe,Switzerland,8773637.0,2026-02-16,,292.0,507549,4453053,,1647,14452.0,2716487,23833472.0
Asia,Philippines,112508994.0,2026-02-16,,6138.0,36800,4140383,,594,66864.0,320888,36102746.0
Europe,Romania,19031335.0,2026-02-16,,657.0,185470,3529735,,3622,68929.0,1511122,28758667.0
Europe,Denmark,5834950.0,2026-02-16,,0.0,545636,3183756,,1511,8814.0,22165247,129333107.0
Asia,Singapore,5943546.0,2026-02-16,,0.0,505785,3006155,,341,2024.0,4165302,24756666.0
Asia,Hong-Kong,7604299.0,2026-02-16,,6680.0,386309,2937609,,1963,14924.0,10011143,76127725.0
Europe,Sweden,10218971.0,2026-02-16,,230.0,269511,2754129,,2682,27407.0,1908301,19500873.0
Oceania,New-Zealand,4898203.0,2026-02-16,,1623.0,535117,2621111,,1163,5697.0,1586011,7768604.0
Europe,Serbia,8653016.0,2026-02-16,,389.0,302213,2615054,,2087,18057.0,1555958,13463733.0
Asia,Iraq,42164965.0,2026-02-16,,673.0,58474,2465545,,602,25375.0,463523,19544451.0
Europe,Hungary,9606259.0,2026-02-16,,29029.0,232164,2230232,,5106,49048.0,1186160,11394556.0
Asia,Bangladesh,167885689.0,2026-02-16,,,12207,2049377,,176,29493.0,90862,15254399.0
Europe,Slovakia,5460193.0,2026-02-16,,0.0,343872,1877605,,3887,21224.0,1364199,7448789.0
Asia,Georgia,3968738.0,2026-02-16,,,469082,1861665,,4317,17132.0,4263340,16920079.0
Europe,Spain,46719142.0,2026-02-16,+702,30634.0,297840,13914811,+8,2606,121760.0,10082298,471036328.0
North-America,North-America,,2026-02-16,,2528062.0,,131889132,,,1695941.0,,
Asia,Asia,,2026-02-16,,14273512.0,,221500265,,,1553662.0,,
Europe,Europe,,2026-02-16,,2550270.0,,253406198,,,2101824.0,,
South-America,South-America,,2026-02-16,,2149962.0,,70200879,,,1367332.0,,
Oceania,Oceania,,2026-02-16,,110368.0,,14895771,,,33015.0,,
Africa,Africa,,2026-02-16,,511224.0,,12860924,,,258892.0,,
All,All,,2026-02-16,0,22123398.0,90413,704753890,0,899.4,7010681.0,,
North-America,USA,334805269.0,2026-02-16,,786167.0,333985,111820082,,3642,1219487.0,3544901,1186851502.0
Asia,India,1406631776.0,2026-02-16,,,32016,45035393,,379,533570.0,665334,935879495.0
Europe,France,65584518.0,2026-02-16,,0.0,612013,40138560,,2556,167642.0,4139547,271490188.0
Europe,Germany,83883596.0,2026-02-16,,405368.0,462891,38828995,,2182,183027.0,1458359,122332384.0
South-America,Brazil,215353593.0,2026-02-16,,1783377.0,179908,38743918,,3303,711380.0,296146,63776166.0
Asia,S-Korea,51329899.0,2026-02-16,,0.0,673523,34571873,,700,35934.0,307892,15804065.0
Asia,Japan,125584838.0,2026-02-16,,,269169,33803572,,595,74694.0,799578,100414883.0
Europe,Italy,60262770.0,2026-02-16,,165544.0,443445,26723249,,3261,196487.0,4665010,281126449.0
Europe,UK,68497907.0,2026-02-16,,0.0,363666,24910387,,3389,232112.0,7628357,522526476.0
Europe,Russia,145805947.0,2026-02-16,,175641.0,165454,24124215,,2762,402756.0,1875095,273400000.0
Asia,Turkey,85561976.0,2026-02-16,,,201399,17232066,,1194,102174.0,1902052,162743369.0
Oceania,Australia,26068792.0,2026-02-16,,8716.0,454687,11853144,,937,24414.0,3142326,81916639.0
Asia,Vietnam,98953541.0,2026-02-16,,941018.0,117481,11625195,,437,43206.0,867342,85826548.0
